bot,Apasi
bott...,Apasi
bot..,Apasi
bottt,Apasi
bott,Apasi
booot,Apasi
boot,Apasi
/bot,Apasi
goodbye,end
ok sama-sama..,end
ok sama-sama.,end
ok sama-sama,end
Ok sampai jumpa....,end
Oke sampai jumpa....,end
Ok sampai jumpa...,end
Oke sampai jumpa...,end
Ok sampai jumpa..,end
Oke sampai jumpa..,end
Oke sampai jumpa.,end
Ok sampai jumpa.,end
Oke sampai jumpa,end
Ok sampai jumpa,end
Ya sudah kalo begitu,end
Ya sudah kalau begitu,end
Ya sudah kalau gitu....,end
Ya sudah kalau gitu..,end
Ya sudah kalau gitu.,end
Ya sudah kalau gitu,end
See you,end
Ya sudah kalo gitu....,end
Ya sudah kalo gitu...,end
Ya sudah kalo gitu..,end
Ya sudah kalo gitu.,end
Ya sudah kalo gitu,end
Ya dah kalo gitu....,end
Ya dah kalo gitu...,end
Ya dah kalo gitu..,end
Ya dah kalo gitu.,end
Ya dah kalo gitu,end
Ya udah kalo gitu....,end
Ya udah kalo gitu...,end
Ya udah kalo gitu..,end
Ya udah kalo gitu.,end
Ya udah kalo gitu,end
oke kalau begitu,end
ok kalau begitu,end
ok sama-sama...,end
bye,end
sampai jumpa,end
ya udah kalau gitu,end
close,end
/end,end
selesai,end
end,end
/close,end
masamaa..,end
masaama,end
masama,end
ngantuk cuy,end
ngantuk deh,end
ngantuk,end
sekian,end
tak da,end
ndak,end
ndak jadi,end
tyduck,end
tydak,end
tydack,end
tidak,end
sampai disini dulu ya....,end
sampai disini dulu ya...,end
sampai disini dulu ya..,end
sampai disini dulu ya.,end
sampai disini dulu ya,end
udahan dulu ya....,end
udahan dulu ya...,end
udahan dulu ya..,end
udahan dulu ya.,end
udahan dulu ya,end
cukup....,end
cukup...,end
cukup..,end
cukup.,end
cukup,end
tak ada....,end
tak ada...,end
tak ada..,end
tak ada.,end
tak ada,end
tidak ada....,end
tidak ada...,end
tidak ada..,end
tidak ada.,end
tidak ada,end
ok sama2....,end
ok sama2...,end
ok sama2..,end
ok sama2.,end
ok sama2,end
oke sama2....,end
oke sama2...,end
oke sama2..,end
